install_dt,ret000,ret001,ret002,ret003,ret004,ret005,ret006,ret007,ret008,ret009,ret010,ret011,ret012,ret013,ret014,ret015,ret016,ret017,ret018,ret019,ret020,ret021,ret022,ret023,ret024,ret025,ret026,ret027,ret028,ret029,ret030,ret031,ret032,ret033,ret034,ret035,ret036,ret037,ret038,ret039,ret040,ret041,ret042,ret043,ret044,ret045,ret046,ret047,ret048,ret049,ret050,ret051,ret052,ret053,ret054,ret055,ret056,ret057,ret058,ret059,ret060,ret061,ret062,ret063,ret064,ret065,ret066,ret067,ret068,ret069,ret070,ret071,ret072,ret073,ret074,ret075,ret076,ret077,ret078,ret079,ret080,ret081,ret082,ret083,ret084,ret085,ret086,ret087,ret088,ret089,ret090,ret091,ret092,ret093,ret094,ret095,ret096,ret097,ret098,ret099,ret100,ret101,ret102,ret103,ret104,ret105,ret106,ret107,ret108,ret109,ret110,ret111,ret112,ret113,ret114,ret115,ret116,ret117,ret118,ret119,ret120,ret121,ret122,ret123,ret124,ret125,ret126,ret127,ret128,ret129,ret130,ret131,ret132,ret133,ret134,ret135,ret136,ret137,ret138,ret139,ret140,ret141,ret142,ret143,ret144,ret145,ret146,ret147,ret148,ret149,ret150,ret151,ret152,ret153,ret154,ret155,ret156,ret157,ret158,ret159,ret160,ret161,ret162,ret163,ret164,ret165,ret166,ret167,ret168,ret169,ret170,ret171,ret172,ret173,ret174,ret175,ret176,ret177,ret178,ret179,ret180
2016-07-01,16555,7311,5984,5674,5453,4967,4638,4468,4224,4279,4111,4218,4228,4099,4119,3922,3806,3755,3759,3637,3605,3679,3520,3472,2061,2959,3420,3405,3359,3196,3227,3213,3220,3206,3210,3148,3015,3062,3012,3114,3006,2951,2971,2875,2879,2848,2924,2820,2850,2932,2857,2879,2797,2856,2742,2686,2745,2660,2735,2669,2665,2662,2651,2608,2521,2620,2633,2649,2579,2609,2578,2540,2533,2442,2541,2498,2471,2487,2406,2504,2391,2401,2416,2360,2390,2349,2442,2411,2425,2373,2336,2337,2273,2326,2265,2244,2319,2325,2240,2194,2267,2225,2235,2236,2148,2163,2236,2212,2141,2204,2140,2158,2111,2078,2134,2113,2151,2087,2018,1989,1951,2092,1971,2005,2047,2041,1971,1931,1994,1960,1946,1979,1939,1905,1965,1950,1904,1967,1916,1899,1864,1882,1913,1879,1859,1897,1799,1863,1856,1853,1827,1805,1816,1840,1815,1787,1824,1766,1810,1797,1798,1813,1800,1810,1748,1800,1734,1709,1733,1710,1734,1732,1745,1719,1718,1709,1587,1580,1724,1706,1727
2016-07-02,19362,8737,7366,6681,5942,5709,5385,5302,5282,4965,5050,4984,4822,4842,4796,4715,4436,4482,4348,4206,4282,4289,4209,2394,3437,4045,4006,3902,3936,4012,3854,3895,3840,3802,3733,3660,3665,3577,3661,3597,3528,3636,3579,3541,3431,3499,3426,3427,3447,3436,3541,3362,3305,3284,3243,3257,3220,3272,3134,3225,3237,3210,3173,3206,3179,3150,3109,3125,3003,3023,3116,3033,2903,3039,2979,2929,2992,2912,2995,2864,2836,2836,2786,2810,2760,2846,2743,2776,2768,2669,2692,2716,2754,2673,2610,2680,2651,2624,2613,2679,2632,2598,2621,2565,2533,2653,2580,2509,2560,2584,2457,2446,2506,2549,2444,2502,2444,2417,2332,2425,2449,2306,2387,2460,2386,2335,2365,2402,2293,2265,2308,2259,2287,2366,2342,2277,2244,2258,2254,2175,2225,2286,2167,2202,2220,2146,2179,2182,2191,2093,2080,2041,2106,2043,2054,2164,2049,2111,2088,2073,2078,2096,2095,2029,2056,2056,1968,1933,2011,2096,2003,2011,2005,1972,1967,1893,1914,1974,1968,1990,2028
2016-07-03,19239,8647,7431,6579,6083,5610,5515,5473,5107,5255,5202,4990,4938,4809,4740,4481,4640,4508,4343,4339,4369,4355,2511,3531,4054,4071,3963,3940,4049,3866,3973,3874,3837,3797,3692,3767,3604,3698,3675,3626,3636,3648,3623,3495,3536,3397,3528,3564,3416,3602,3433,3456,3355,3297,3353,3302,3383,3271,3282,3337,3280,3197,3158,3304,3188,3176,3210,3097,3157,3163,3168,3024,3094,2999,3039,3022,2949,3124,2939,2975,2887,2771,2814,2834,2927,2868,2852,2786,2755,2724,2767,2847,2743,2689,2720,2699,2644,2635,2677,2683,2613,2591,2591,2553,2602,2646,2502,2558,2546,2543,2496,2526,2585,2472,2510,2443,2401,2369,2375,2490,2298,2409,2450,2401,2354,2349,2429,2330,2286,2312,2307,2287,2343,2344,2275,2253,2270,2240,2185,2205,2277,2207,2196,2197,2169,2176,2150,2192,2192,2114,2091,2082,2103,2066,2171,2030,2082,2048,2087,2086,2061,2106,2061,2060,2051,1969,1920,2007,2035,1962,1989,1987,1967,1903,1817,1887,2028,2014,2010,1999,1980
2016-07-04,18617,8997,7310,6506,5839,5419,5382,5272,5264,5243,4930,4847,4682,4503,4538,4618,4392,4331,4283,4154,4119,2465,3462,4073,3909,3841,3760,3827,3846,3856,3767,3757,3648,3543,3538,3574,3633,3536,3419,3496,3356,3380,3333,3402,3362,3334,3353,3265,3315,3273,3261,3224,3129,3077,3079,3179,3140,3171,3222,3142,3021,2938,3041,3133,3036,3066,2961,2950,2942,2875,2889,2958,2889,2850,2862,2733,2860,2761,2851,2783,2696,2655,2702,2730,2762,2727,2763,2670,2597,2559,2654,2628,2637,2671,2578,2555,2439,2491,2519,2488,2527,2471,2445,2448,2521,2450,2544,2490,2451,2371,2328,2428,2389,2406,2361,2342,2204,2260,2337,2210,2352,2339,2318,2284,2213,2271,2241,2226,2282,2268,2168,2190,2236,2169,2157,2177,2130,2031,2036,2146,2115,2162,2154,2111,2086,2048,2101,2053,2034,2018,2042,1968,1932,1966,1964,2003,1981,1933,1962,1955,1980,1984,2030,2026,1906,1855,1894,1917,1894,1914,1894,1886,1872,1698,1788,1887,1889,1882,1865,1845,1703
2016-07-05,17724,8375,6890,6054,5505,5417,5262,5384,5208,4965,4885,4623,4515,4501,4588,4439,4330,4280,4015,4001,2448,3446,4080,3955,3819,3599,3732,3738,3852,3755,3776,3626,3426,3489,3468,3614,3497,3443,3439,3309,3292,3336,3470,3309,3286,3287,3216,3367,3281,3318,3212,3177,3167,3010,3123,3144,3187,3145,3072,2991,2876,2927,2993,3019,3064,2974,2962,2850,2876,2854,2908,2865,2842,2802,2728,2741,2745,2771,2775,2702,2644,2625,2694,2717,2713,2672,2572,2555,2513,2552,2540,2565,2555,2593,2462,2394,2442,2532,2543,2557,2466,2397,2463,2430,2422,2460,2411,2386,2324,2254,2327,2310,2370,2334,2254,2218,2171,2223,2168,2285,2305,2254,2144,2099,2161,2166,2142,2200,2158,2128,2144,2132,2110,2118,2123,2109,2028,1963,2094,2053,2051,2013,1996,1950,1934,1987,2002,1967,1888,1913,1900,1827,1884,1938,1970,1890,1914,1887,1879,1878,1889,1865,1890,1826,1730,1731,1802,1818,1862,1785,1796,1755,1619,1644,1757,1784,1787,1802,1782,1596,1728
2016-07-06,18004,8532,6838,6064,5720,5592,5568,5530,5181,5036,4740,4640,4562,4623,4538,4383,4271,4119,4130,2532,3544,4078,4029,3875,3737,3793,3792,3894,3785,3760,3695,3534,3498,3558,3630,3546,3505,3479,3338,3372,3382,3423,3417,3375,3415,3292,3447,3317,3329,3331,3228,3184,3058,3114,3130,3166,3195,3159,3092,2920,2955,3020,3067,3071,3030,2912,2893,2893,2900,2996,2908,2928,2894,2723,2820,2803,2838,2822,2710,2719,2635,2691,2735,2724,2718,2637,2621,2567,2593,2571,2529,2607,2533,2522,2431,2518,2520,2543,2549,2491,2408,2442,2450,2480,2529,2451,2405,2416,2294,2370,2358,2401,2370,2321,2255,2222,2253,2244,2313,2330,2305,2278,2170,2202,2206,2229,2218,2181,2204,2170,2213,2153,2201,2188,2133,2078,2074,2152,2108,2142,2068,2067,2036,1993,2065,2020,1993,2004,2002,1986,1935,1935,1961,2016,2001,1964,1992,1930,1980,1995,1976,1981,1930,1816,1860,1866,1949,1958,1934,1895,1835,1714,1674,1831,1905,1940,1883,1882,1719,1847,1902
2016-07-07,17738,8480,6723,6268,5877,5848,5707,5397,5288,4881,4767,4741,4855,4691,4507,4488,4223,4269,2535,3607,4204,4126,4048,3782,3883,3918,3997,3944,3950,3936,3682,3698,3684,3796,3729,3674,3667,3526,3494,3490,3646,3503,3492,3461,3398,3440,3441,3464,3332,3312,3212,3182,3246,3174,3257,3318,3273,3149,2997,3060,3088,3069,3085,3018,3013,2914,2972,2899,3026,2883,2918,2910,2813,2836,2851,2886,2792,2773,2750,2686,2731,2776,2752,2687,2676,2567,2618,2632,2639,2583,2602,2652,2562,2479,2542,2563,2555,2626,2571,2502,2528,2587,2522,2563,2549,2516,2435,2404,2489,2425,2475,2435,2352,2299,2226,2323,2285,2399,2382,2365,2327,2258,2304,2281,2286,2258,2250,2252,2203,2235,2234,2224,2223,2222,2120,2097,2223,2156,2185,2159,2123,2088,2069,2100,2046,2092,2056,2108,2018,1977,1995,2020,2026,2007,2041,2001,1965,1985,1955,2016,1990,1847,1839,1898,1909,1959,1963,1922,1897,1897,1738,1748,1933,1966,1966,1919,1880,1768,1834,1921,1916
2016-07-08,19049,8847,7365,6554,6195,5896,5660,5485,5296,5136,4941,4958,4809,4722,4728,4575,4513,2650,3767,4375,4271,4309,4090,4027,4008,4119,4044,3995,4017,3832,3816,3834,3823,3775,3730,3760,3673,3646,3641,3668,3574,3542,3612,3584,3569,3554,3532,3482,3468,3452,3338,3395,3375,3344,3312,3253,3206,3156,3226,3226,3190,3186,3149,3175,3116,3171,3120,3111,3082,3051,3041,2943,3058,3028,2961,2989,2944,2906,2843,2939,2898,2921,2854,2822,2857,2778,2803,2751,2707,2684,2725,2660,2622,2675,2706,2609,2597,2560,2612,2583,2594,2591,2585,2550,2580,2532,2496,2557,2522,2509,2467,2474,2423,2379,2494,2367,2405,2426,2437,2368,2356,2439,2384,2364,2356,2282,2303,2326,2329,2308,2248,2280,2251,2215,2198,2273,2244,2224,2188,2156,2136,2084,2177,2088,2079,2067,2032,2008,1974,2041,2014,2036,2025,2037,1991,1950,1972,1964,1978,1992,1937,1944,1936,1966,1968,1940,1912,1896,1895,1790,1780,1919,1942,1892,1921,1924,1757,1927,1939,1932,1895
2016-07-09,19753,9313,7401,6704,6265,5901,5673,5712,5476,5192,5041,4968,4806,4794,4760,4786,2730,3820,4395,4392,4347,4374,4255,4174,4159,4175,4108,4040,4085,4052,3958,3891,3881,3763,3829,3787,3780,3738,3714,3650,3606,3631,3719,3734,3567,3609,3471,3453,3410,3481,3552,3458,3461,3386,3361,3383,3338,3377,3343,3291,3263,3181,3175,3246,3229,3173,3122,3028,3065,3020,3090,3102,3000,2947,2934,2866,2887,2976,2954,2977,2887,2837,2804,2772,2845,2865,2815,2749,2785,2744,2730,2781,2753,2732,2714,2702,2650,2618,2758,2703,2629,2645,2621,2591,2563,2579,2627,2537,2512,2482,2487,2423,2504,2521,2392,2502,2442,2426,2413,2403,2421,2365,2391,2294,2306,2320,2357,2409,2336,2293,2332,2266,2224,2319,2352,2302,2300,2222,2177,2199,2170,2267,2168,2183,2176,2122,2140,2095,2176,2141,2153,2074,2086,2094,2099,2176,2065,2083,2029,1970,2008,2005,2059,2028,2054,2018,2029,1972,1894,1921,1996,2041,2023,2007,2005,1905,1998,2088,2019,1935,1944
2016-07-10,20058,9197,7973,7224,6597,6308,6054,5826,5484,5484,5287,5098,5076,4933,5005,2852,4032,4685,4560,4523,4347,4562,4389,4423,4354,4297,4254,4171,4244,4026,4167,4056,3939,3937,3975,3961,3847,3954,3820,3885,3797,3841,3952,3746,3770,3679,3570,3548,3531,3655,3547,3644,3520,3562,3459,3419,3538,3485,3425,3475,3306,3327,3319,3360,3265,3290,3210,3161,3162,3112,3224,3121,3082,3049,3010,3036,2994,3118,2984,3033,2984,2925,2905,2896,3008,2907,2795,2875,2893,2802,2820,2897,2801,2822,2892,2772,2689,2817,2873,2757,2810,2725,2716,2606,2622,2721,2636,2627,2595,2553,2542,2531,2661,2464,2592,2583,2551,2486,2474,2587,2458,2434,2448,2449,2418,2478,2496,2459,2411,2423,2383,2340,2314,2429,2359,2398,2338,2366,2259,2272,2367,2267,2230,2200,2174,2184,2175,2260,2183,2228,2172,2158,2126,2178,2231,2159,2191,2147,2093,2032,2071,2113,2126,2128,2137,2082,2104,1938,1923,2121,2101,2129,2086,2055,1929,2114,2155,2106,2069,2003,2048
