install_dt,age,revenue
2016-07-01,0,572.68
2016-07-01,1,852.33
2016-07-01,2,533.93
2016-07-01,3,593.93
2016-07-01,4,456.14
2016-07-01,5,463.97
2016-07-01,6,477.96
2016-07-01,7,558.95
2016-07-01,8,400.93
2016-07-01,9,617.74
2016-07-01,10,348.21
2016-07-01,11,454.89
2016-07-01,12,424
2016-07-01,13,338.28
2016-07-01,14,677.66
2016-07-01,15,539.97
2016-07-01,16,472.02
2016-07-01,17,343.17
2016-07-01,18,402.91
2016-07-01,19,388.07
2016-07-01,20,457.12
2016-07-01,21,522.15
2016-07-01,22,345.27
2016-07-01,23,443.88
2016-07-01,24,509.07
2016-07-01,25,345.23
2016-07-01,26,416.26
2016-07-01,27,376.3
2016-07-01,28,429.12
2016-07-01,29,336.18
2016-07-01,30,290.38
2016-07-01,31,224.38
2016-07-01,32,235.49
2016-07-01,33,161.66
2016-07-01,34,389.28
2016-07-01,35,313.36
2016-07-01,36,285.33
2016-07-01,37,339.43
2016-07-01,38,250.31
2016-07-01,39,266.34
2016-07-01,40,203.5
2016-07-01,41,304.34
2016-07-01,42,200.47
2016-07-01,43,288.42
2016-07-01,44,294.52
2016-07-01,45,312.5
2016-07-01,46,167.53
2016-07-01,47,233.43
2016-07-01,48,234.5
2016-07-01,49,255.52
2016-07-01,50,344.41
2016-07-01,51,184.6
2016-07-01,52,225.63
2016-07-01,53,200.6
2016-07-01,54,350.35
2016-07-01,55,285.34
2016-07-01,56,377.19
2016-07-01,57,249.37
2016-07-01,58,389.36
2016-07-01,59,166.6
2016-07-01,60,229.36
2016-07-01,61,202.48
2016-07-01,62,228.4
2016-07-01,63,232.42
2016-07-01,64,146.55
2016-07-01,65,135.62
2016-07-01,66,168.46
2016-07-01,67,155.64
2016-07-01,68,249.59
2016-07-01,69,153.63
2016-07-01,70,278.35
2016-07-01,71,173.66
2016-07-01,72,195.45
2016-07-01,73,191.55
2016-07-01,74,149.66
2016-07-01,75,235.46
2016-07-01,76,286.45
2016-07-01,77,225.53
2016-07-01,78,193.54
2016-07-01,79,266.4
2016-07-01,80,248.34
2016-07-01,81,194.41
2016-07-01,82,178.52
2016-07-01,83,176.48
2016-07-01,84,326.21
2016-07-01,85,400.08
2016-07-01,86,271.33
2016-07-01,87,170.57
2016-07-01,88,172.64
2016-07-01,89,106.68
2016-07-01,90,298.39
2016-07-01,91,328.33
2016-07-01,92,302.27
2016-07-01,93,236.41
2016-07-01,94,278.34
2016-07-01,95,160.62
2016-07-01,96,240.5
2016-07-01,97,348.27
2016-07-01,98,116.62
2016-07-01,99,216.49
2016-07-01,100,178.43
2016-07-01,101,94.66
2016-07-01,102,129.4
2016-07-01,103,284.33
2016-07-01,104,242.31
2016-07-01,105,220.23
2016-07-01,106,216.36
2016-07-01,107,171.42
2016-07-01,108,148.64
2016-07-01,109,240.36
2016-07-01,110,151.53
2016-07-01,111,210.42
2016-07-01,112,349.28
2016-07-01,113,220.52
2016-07-01,114,143.61
2016-07-01,115,181.51
2016-07-01,116,240.45
2016-07-01,117,252.3
2016-07-01,118,214.41
2016-07-01,119,381.38
2016-07-01,120,223.39
2016-07-01,121,220.4
2016-07-01,122,125.62
2016-07-01,123,246.28
2016-07-01,124,230.33
2016-07-01,125,367
2016-07-01,126,191.57
2016-07-01,127,212.47
2016-07-01,128,222.26
2016-07-01,129,180.53
2016-07-01,130,183.56
2016-07-01,131,210.57
2016-07-01,132,214.28
2016-07-01,133,364.25
2016-07-01,134,259.48
2016-07-01,135,202.64
2016-07-01,136,124.73
2016-07-01,137,121.7
2016-07-01,138,80.72
2016-07-01,139,160.6
2016-07-01,140,277.49
2016-07-01,141,123.55
2016-07-01,142,180.51
2016-07-01,143,156.64
2016-07-01,144,90.7
